"Genus","FIS rank (default; 90% CI-based)","FIS (default; 90% CI-based)","Cumulative FIS (%)","Num. Selected metabolites","Median Bayesian p-value (default; 90% CI-based)","FIS (95% CI-based)","Rank (95% CI-based)","FIS (99% CI-based)","Rank (99% CI-based)"
"Lactococcus",88,1,40.99,93,0.018,0.97,103,1.08,89
"Intestinimonas",89,0.99,41.38,93,0.013,1.08,74,1.14,79
"Blautia_A",90,0.99,41.78,93,0.027,0.93,117,0.8,138
"Schaedlerella",91,0.99,42.18,92,0.013,1.03,87,1.03,95
"Phil12",92,0.98,42.57,91,0.022,0.91,120,0.78,145
"NSJ.51",93,0.98,42.96,91,0.009,1.01,91,1.28,58
"NSJ.61",94,0.98,43.36,91,0.016,0.99,97,1.11,86
"Evtepia",95,0.97,43.75,91,0.011,0.98,101,1.18,74
"Lacrimispora",96,0.97,44.14,91,0.016,0.95,110,0.98,107
"CAG.266",97,0.97,44.53,90,0.016,1,94,1.08,91
"Holdemania",98,0.96,44.91,90,0.013,1,96,1.05,94
"Limisoma",99,0.96,45.3,90,0.016,1.03,85,1.03,96
"Dorea",100,0.96,45.69,90,0.007,1.07,78,1.43,38
"Parvimonas",101,0.96,46.07,89,0.029,0.89,125,0.94,116
"Tidjanibacter",102,0.96,46.46,89,0.016,1,95,0.96,112
"Coprobacter",103,0.95,46.84,89,0.013,1.08,76,1.11,87
"CAG.41",104,0.95,47.22,89,0.018,0.95,111,0.88,126
"Negativibacillus",105,0.95,47.6,89,0.011,0.95,107,1.22,70
"Scatomorpha",106,0.95,47.98,88,0.009,0.99,98,1.27,63
"Lachnospira",107,0.94,48.36,88,0.017,0.99,99,0.96,111
"Fusobacterium",108,0.94,48.74,88,0.018,0.93,116,0.95,114
"UBA1417",109,0.93,49.11,87,0.011,1.02,89,1.12,84
"CAG.269",110,0.93,49.49,87,0.024,0.86,137,0.7,165
"Rothia",111,0.93,49.86,87,0.016,0.9,121,1.07,92
"PeH17",112,0.93,50.23,86,0.014,1.01,92,0.97,110
"Megasphaera",113,0.92,50.6,86,0.02,0.95,109,0.84,133
"Bulleidia",114,0.92,50.97,86,0.016,0.98,102,0.97,108
"Faecousia",115,0.92,51.34,86,0.019,0.96,106,0.86,129
"Cryptobacteroides",116,0.92,51.71,86,0.016,0.95,112,1,103
"Thauera",117,0.92,52.08,85,0.018,0.96,104,0.9,121
"Zag111",118,0.91,52.45,85,0.011,0.89,126,1.02,97
"Faecalibacterium",119,0.9,52.81,84,0.02,0.94,113,0.9,119
"Faecimorpha",120,0.9,53.17,84,0.022,0.85,141,0.9,118
"Pelethomonas",121,0.9,53.53,84,0.021,0.95,108,0.89,124
"Acutalibacter",122,0.9,53.9,85,0.024,0.87,135,0.78,146
"Clostridium_Q",123,0.9,54.26,85,0.029,0.87,130,0.53,212
"UBA3818",124,0.9,54.62,84,0.009,0.96,105,1.17,75
"Barnesiella",125,0.9,54.98,84,0.028,0.81,154,0.76,155
"Gallimonas",126,0.9,55.34,84,0.029,0.76,171,0.74,161
"Aphodousia",127,0.9,55.7,84,0.024,0.85,140,0.66,173
"Cloacibacillus",128,0.9,56.06,84,0.013,0.87,136,0.98,104
"Eubacterium_I",129,0.89,56.42,82,0.02,0.88,129,0.77,149
"Stercorousia",130,0.88,56.77,83,0.033,0.77,166,0.67,169
"Faecalicoccus",131,0.88,57.13,83,0.018,0.82,152,0.95,115
"Limivivens",132,0.88,57.48,81,0.02,0.83,147,0.77,151
"UBA738",133,0.88,57.84,82,0.02,0.86,139,0.89,123
"Pseudoruminococcus_A",134,0.88,58.19,81,0.022,0.89,127,0.85,131
"Monoglobus",135,0.88,58.54,81,0.016,0.93,114,0.9,120
"Lachnoclostridium_B",136,0.88,58.89,82,0.017,0.87,133,0.95,113
"CAG.492",137,0.87,59.24,81,0.016,0.92,118,1,101
"Anaerobutyricum",138,0.87,59.59,81,0.024,0.9,122,0.71,163
"Mediterraneibacter_A",139,0.86,59.94,80,0.018,0.85,142,0.79,141
"UMGS1071",140,0.86,60.28,81,0.016,0.9,124,0.89,122
"CAG.1427",141,0.86,60.63,80,0.023,0.83,148,0.75,159
"Phocaeicola_A",142,0.86,60.97,80,0.036,0.87,134,0.7,164
"Emergencia",143,0.86,61.32,80,0.027,0.77,164,0.66,171
"Lachnoclostridium_A",144,0.85,61.66,80,0.013,0.93,115,1.08,88
"Anaeromassilibacillus",145,0.85,62,80,0.019,0.84,144,0.97,109
"UBA11524",146,0.85,62.34,80,0.02,0.87,131,0.82,136
"Limadaptatus",147,0.85,62.69,79,0.033,0.74,185,0.62,189
"Ventrimonas",148,0.85,63.03,79,0.02,0.86,138,0.76,156
"Megamonas",149,0.85,63.37,79,0.036,0.76,176,0.48,222
"Dialister",150,0.85,63.71,79,0.022,0.87,132,0.47,226
"Prevotella",151,0.84,64.04,78,0.016,0.92,119,0.87,127
"Muricomes",152,0.84,64.38,77,0.022,0.84,145,0.71,162
"Choladousia",153,0.84,64.72,79,0.024,0.77,165,0.66,170
"Coproplasma",154,0.83,65.05,78,0.029,0.79,160,0.77,147
"NSJ.62",155,0.83,65.39,78,0.021,0.81,155,0.8,139
"Limiplasma",156,0.83,65.72,77,0.018,0.84,143,0.74,160
"CAG.882",157,0.82,66.05,77,0.02,0.79,158,0.87,128
"Victivallis",158,0.82,66.38,76,0.031,0.72,189,0.57,205
"UMGS775",159,0.82,66.71,77,0.022,0.78,162,0.82,137
"Parabacteroides",160,0.82,67.03,76,0.029,0.76,172,0.61,195
"Pelethocola",161,0.82,67.36,76,0.019,0.74,184,0.69,167
"CAG.170",162,0.82,67.69,77,0.018,0.79,161,0.8,140
"ER4",163,0.82,68.02,77,0.018,0.76,175,0.88,125
"Mesosutterella",164,0.8,68.34,76,0.022,0.83,149,0.61,191
"Clostridium_P",165,0.8,68.66,75,0.016,0.89,128,0.84,134
"Catenibacterium",166,0.8,68.98,75,0.027,0.75,179,0.48,220
"Sutterella",167,0.8,69.31,75,0.022,0.77,167,0.63,185
"Pseudobutyricicoccus",168,0.78,69.62,73,0.029,0.75,180,0.59,200
"UBA7173",169,0.78,69.93,73,0.029,0.83,150,0.56,209
"Hungatella",170,0.78,70.25,73,0.018,0.76,174,0.77,152
"UMGS1375",171,0.78,70.56,73,0.016,0.83,146,0.85,132
"Marseille.P3106",172,0.78,70.88,73,0.02,0.8,156,0.83,135
"CAG.115",173,0.78,71.19,72,0.027,0.62,224,0.61,194
"Pelethousia",174,0.78,71.5,72,0.023,0.81,153,0.79,144
"CAG.353",175,0.78,71.81,72,0.023,0.69,201,0.64,180
"RUG115",176,0.77,72.12,73,0.02,0.75,178,0.76,154
"UBA6398",177,0.77,72.43,72,0.033,0.64,217,0.56,210
"CAG.245",178,0.77,72.74,73,0.02,0.82,151,0.79,143
"HGM10836",179,0.77,73.05,72,0.027,0.68,205,0.61,190
"Pseudoscilispira",180,0.77,73.36,72,0.03,0.71,195,0.57,204
"Clostridium_A",181,0.77,73.67,71,0.029,0.68,204,0.63,186
"Enterenecus",182,0.76,73.98,71,0.02,0.78,163,0.63,182
"Desulfovibrio",183,0.76,74.28,72,0.023,0.73,187,0.45,232
"Enterobacter",184,0.76,74.59,71,0.018,0.75,181,0.69,166
"Clostridium_AP",185,0.76,74.89,71,0.027,0.76,170,0.66,172
"Phascolarctobacterium",186,0.76,75.2,70,0.023,0.69,202,0.65,176
"Faecalibacillus",187,0.76,75.5,71,0.027,0.76,173,0.64,181
"Collinsella",188,0.76,75.8,71,0.02,0.69,200,0.59,198
"Ruthenibacterium",189,0.76,76.11,70,0.021,0.72,188,0.59,199
"Haemophilus_D",190,0.75,76.41,70,0.021,0.75,183,0.63,184
"Merdimorpha",191,0.75,76.71,70,0.033,0.7,199,0.49,218
"Coprococcus",192,0.75,77.01,70,0.019,0.79,159,0.63,183
"Brachyspira",193,0.75,77.31,71,0.024,0.76,177,0.61,193
"UMGS1370",194,0.75,77.61,70,0.031,0.66,211,0.65,177
"Fimisoma",195,0.75,77.91,69,0.018,0.71,191,0.58,202
"Anaerostipes",196,0.74,78.21,69,0.018,0.62,222,0.79,142
"Eisenbergiella",197,0.74,78.51,69,0.027,0.65,216,0.58,203
"Metalachnospira",198,0.74,78.81,69,0.02,0.77,168,0.65,178
"Onthomonas",199,0.73,79.1,69,0.027,0.66,210,0.59,201
"Scatocola",200,0.73,79.4,69,0.029,0.64,218,0.56,208
"Sodaliphilus",201,0.73,79.69,69,0.031,0.62,220,0.61,192
"Peptostreptococcus",202,0.73,79.99,68,0.026,0.71,194,0.6,197
"Veillonella_A",203,0.73,80.28,68,0.016,0.67,206,0.75,158
"Rikenella",204,0.73,80.57,68,0.017,0.79,157,0.77,150
"Fusobacterium_A",205,0.73,80.86,68,0.018,0.7,197,0.61,196
"CAZU01",206,0.73,81.15,67,0.024,0.73,186,0.5,217
"Fusicatenibacter",207,0.72,81.44,68,0.028,0.68,203,0.48,219
"CAG.485",208,0.72,81.73,67,0.02,0.66,209,0.47,225
"Niameybacter",209,0.72,82.02,67,0.016,0.71,192,0.65,174
"Adlercreutzia",210,0.72,82.31,67,0.02,0.76,169,0.76,157
"UBA5026",211,0.72,82.6,67,0.024,0.7,198,0.51,215
"Senegalimassilia",212,0.71,82.89,67,0.02,0.71,190,0.65,175
"Frisingicoccus",213,0.71,83.17,66,0.031,0.67,207,0.46,228
"Akkermansia",214,0.7,83.45,66,0.011,0.75,182,0.86,130
"Duodenibacillus",215,0.7,83.74,66,0.027,0.65,213,0.52,214
"AM51.8",216,0.7,84.02,65,0.022,0.66,212,0.67,168
"Eubacterium_G",217,0.69,84.3,65,0.022,0.7,196,0.64,179
"CAG.127",218,0.69,84.57,65,0.038,0.58,232,0.41,242
"Roseburia",219,0.69,84.85,65,0.031,0.65,214,0.42,238
"Enterococcus_B",220,0.69,85.12,64,0.024,0.71,193,0.44,234
"CAG.217",221,0.69,85.4,64,0.034,0.6,227,0.57,207
"Aeromonas",222,0.69,85.68,64,0.032,0.65,215,0.48,223
"Merdimonas",223,0.68,85.95,64,0.024,0.61,226,0.62,188
"Citrobacter_B",224,0.68,86.22,64,0.031,0.63,219,0.46,229
"Paraprevotella",225,0.67,86.49,63,0.031,0.53,246,0.48,221
"Ruminococcus_B",226,0.67,86.76,63,0.033,0.55,240,0.51,216
"Ventrisoma",227,0.67,87.03,62,0.033,0.54,244,0.47,224
"Mediterraneibacter",228,0.66,87.3,62,0.024,0.67,208,0.57,206
"CAG.873",229,0.66,87.56,62,0.021,0.58,231,0.62,187
"Scatavimonas",230,0.66,87.83,62,0.031,0.59,229,0.41,241
"Ruminococcus",231,0.66,88.1,62,0.038,0.6,228,0.41,240
"CAG.273",232,0.65,88.36,62,0.031,0.56,238,0.44,236
"Spyradocola",233,0.65,88.62,61,0.042,0.54,245,0.3,261
"Fimivivens",234,0.65,88.88,61,0.033,0.57,236,0.38,245
"CAG.349",235,0.65,89.14,61,0.022,0.62,223,0.77,153
"UMGS1975",236,0.64,89.4,60,0.032,0.58,230,0.43,237
"Butyricimonas",237,0.64,89.66,60,0.033,0.55,241,0.44,233
"Dysosmobacter",238,0.64,89.92,60,0.033,0.56,237,0.32,256
"Pullichristensenella",239,0.63,90.17,59,0.04,0.49,256,0.46,231
"Alcanivorax",240,0.63,90.42,59,0.038,0.49,254,0.3,259
"Marvinbryantia",241,0.63,90.67,58,0.027,0.61,225,0.46,230
"Faecimonas",242,0.62,90.93,58,0.031,0.62,221,0.34,255
"HGM13006",243,0.62,91.18,58,0.037,0.54,242,0.38,246
"UMGS946",244,0.61,91.42,58,0.024,0.57,233,0.55,211
"COE1",245,0.61,91.67,57,0.027,0.55,239,0.47,227
"CAG.590",246,0.6,91.91,56,0.036,0.54,243,0.25,270
"Dorea_A",247,0.6,92.15,56,0.034,0.51,251,0.28,264
"Erysipelatoclostridium",248,0.6,92.39,56,0.036,0.45,264,0.38,247
"Caecibacter",249,0.58,92.62,55,0.04,0.44,265,0.38,244
"CAG.103",250,0.58,92.86,54,0.037,0.51,249,0.53,213
"Ruminococcus_E",251,0.58,93.09,54,0.029,0.57,235,0.35,253
"CAG.238",252,0.58,93.32,53,0.036,0.48,258,0.36,250
"Holdemanella",253,0.57,93.55,54,0.024,0.51,252,0.37,248
"Allisonella",254,0.57,93.78,54,0.039,0.44,266,0.24,273
"Citrobacter",255,0.57,94.01,53,0.038,0.48,260,0.35,251
"Bifidobacterium",256,0.57,94.24,53,0.033,0.53,247,0.42,239
"Klebsiella",257,0.56,94.46,53,0.042,0.43,269,0.2,276
"Acidaminococcus",258,0.56,94.69,53,0.018,0.57,234,0.44,235
"SZUA.378",259,0.56,94.91,52,0.032,0.51,250,0.39,243
"SFEL01",260,0.55,95.13,51,0.036,0.45,263,0.2,275
"UBA11774",261,0.54,95.35,51,0.049,0.36,276,0.31,258
"CAG.302",262,0.54,95.57,50,0.038,0.42,270,0.26,266
"Blautia",263,0.54,95.78,50,0.036,0.45,262,0.21,274
"Azonexus",264,0.53,95.99,49,0.033,0.52,248,0.29,262
"Oribacterium",265,0.53,96.21,50,0.034,0.48,257,0.26,268
"UBA1394",266,0.52,96.42,49,0.024,0.5,253,0.29,263
"UBA1685",267,0.51,96.62,48,0.03,0.4,274,0.35,252
"Scatacola_A",268,0.51,96.83,48,0.027,0.49,255,0.25,272
"Parasutterella",269,0.51,97.03,48,0.033,0.43,267,0.34,254
"Massilistercora",270,0.5,97.23,47,0.036,0.47,261,0.17,278
"Ruminococcus_C",271,0.5,97.44,47,0.04,0.38,275,0.16,279
"Phocaeicola",272,0.5,97.64,46,0.034,0.48,259,0.25,271
"RUG705",273,0.49,97.83,46,0.059,0.29,281,0.26,267
"KLE1615",274,0.47,98.02,44,0.027,0.42,271,0.32,257
"Chitinophaga",275,0.46,98.21,43,0.031,0.43,268,0.3,260
"Ruminiclostridium_E",276,0.45,98.39,42,0.034,0.4,272,0.28,265
"Limivicinus",277,0.43,98.56,40,0.039,0.35,277,0.11,286
"Pseudoflavonifractor",278,0.42,98.73,39,0.051,0.27,283,0.26,269
"GCA.900066755",279,0.41,98.89,38,0.032,0.33,279,0.16,281
"Escherichia",280,0.41,99.06,38,0.032,0.4,273,0.37,249
"Anaeroglobus",281,0.4,99.22,37,0.04,0.34,278,0.11,285
"Ventricola",282,0.4,99.38,37,0.038,0.33,280,0.2,277
"Fournierella",283,0.4,99.54,37,0.053,0.23,285,0.16,282
"Butyrivibrio_A",284,0.35,99.68,32,0.034,0.28,282,0.16,280
"Coprococcus_A",285,0.34,99.81,31,0.04,0.27,284,0.13,283
"Kluyvera",286,0.27,99.92,25,0.055,0.17,286,0.1,287
"Alloprevotella",287,0.2,100,19,0.033,0.17,287,0.12,284
